sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
33513212973,2021-08-25T10:05:30Z,73,17,19,37,49,66,0.1084070796460177
33500416707,2021-08-24T11:24:00Z,87,22,20,45,94,66,0.07358490566037736
33486764876,2021-08-23T09:42:30Z,81,19,20,42,65,66,0.1148577449947313
33481568854,2021-08-22T09:53:00Z,79,17,21,41,69,66,0.0748502994011976
33460220380,2021-08-21T11:08:00Z,85,23,19,43,124,66,0.1314708299096138
33448492761,2021-08-20T08:53:00Z,84,19,22,43,63,68,0.07372793354101766
33440340370,2021-08-19T08:25:00Z,77,19,20,38,59,70,0.08244680851063829
33440340369,2021-08-18T09:24:00Z,76,21,23,32,59,71,0.06948640483383686
33413870792,2021-08-17T05:47:00Z,84,19,21,44,114,70,0.10824313072439634
33394413786,2021-08-16T05:24:30Z,68,18,17,33,72,68,0.11259259259259259
33381212833,2021-08-15T06:04:00Z,77,21,18,38,73,67,0.06530089628681178
33369110663,2021-08-14T05:44:30Z,79,21,22,36,54,68,0.07682291666666667
33366813433,2021-08-13T05:44:30Z,76,21,23,32,52,71,0.06104129263913824
33366813432,2021-08-12T04:21:00Z,77,19,22,36,64,71,0.08908045977011494
33366813430,2021-08-11T05:44:00Z,76,20,23,33,40,72,0.08914728682170543
33311794282,2021-08-10T05:46:30Z,74,17,21,36,83,74,0.10783055198973042
33295796873,2021-08-09T06:35:00Z,66,20,19,27,37,72,0.05515587529976019
33284104685,2021-08-08T07:38:30Z,57,13,15,29,26,69,0.05799648506151142
33284104682,2021-08-07T04:43:30Z,79,19,20,40,88,69,0.094662638469285
33246191534,2021-08-05T05:44:30Z,81,22,21,38,94,70,0.10549943883277217
33241230291,2021-08-04T16:54:00Z,55,15,12,28,15,69,0.0774818401937046
33228037947,2021-08-03T16:02:30Z,51,20,12,19,28,67,0.08955223880597014
33218010246,2021-08-03T01:41:00Z,69,18,16,35,58,67,0.0688622754491018
33208561423,2021-08-02T05:38:30Z,69,20,20,29,75,69,0.07487520798668885
33196766099,2021-08-01T06:32:30Z,86,20,21,45,127,70,0.09886264216972879
33187310013,2021-07-31T06:34:00Z,79,21,23,35,55,71,0.09063893016344725
33177692661,2021-07-30T05:53:30Z,66,17,22,27,63,74,0.11066398390342053
33177692659,2021-07-29T06:30:00Z,75,18,21,36,81,74,0.1374233128834356
33144305771,2021-07-28T06:25:30Z,58,16,16,26,70,72,0.08291873963515754
33139262550,2021-07-27T05:44:30Z,70,20,18,32,49,70,0.08530805687203792
33139262548,2021-07-26T07:08:00Z,64,16,18,30,32,70,0.08538587848932677
33139262547,2021-07-24T06:38:00Z,79,17,22,40,65,70,0.10564102564102563
33081467393,2021-07-23T05:44:30Z,75,21,17,37,68,67,0.044755244755244755
33071380207,2021-07-22T05:36:30Z,64,16,20,28,44,67,0.09165302782324058
33064489084,2021-07-21T16:41:30Z,56,14,15,27,22,65,0.061170212765957445
33056185230,2021-07-21T06:36:30Z,76,19,17,40,90,65,0.10174717368961973
33050332343,2021-07-20T15:42:30Z,61,20,13,28,29,66,0.08446866485013624
33041990254,2021-07-20T03:42:30Z,65,17,20,28,66,66,0.0994671403197158
33029683872,2021-07-19T09:28:30Z,83,22,21,40,107,67,0.08790072388831438
33023814191,2021-07-18T09:25:30Z,80,20,20,40,100,67,0.11549566891241578
33004383822,2021-07-17T08:07:30Z,74,20,22,32,68,69,0.07607192254495158
32992333558,2021-07-16T08:09:00Z,77,17,22,38,81,69,0.07857142857142857
32986144422,2021-07-15T08:30:00Z,81,20,21,40,82,69,0.072480181200453
32986144421,2021-07-14T08:31:00Z,76,20,22,34,48,68,0.05789473684210526
32952753007,2021-07-13T08:03:30Z,83,22,18,43,94,67,0.06256860592755215
32940681921,2021-07-12T07:55:30Z,72,17,22,33,83,68,0.1039426523297491
32935626943,2021-07-11T19:00:00Z,71,18,21,32,36,69,0.09610389610389611
32927149170,2021-07-11T07:40:30Z,83,20,22,41,50,69,0.09873949579831932
32914662613,2021-07-10T07:26:30Z,83,22,21,40,98,69,0.09073170731707317
32886101751,2021-07-08T09:23:30Z,71,16,16,39,66,67,0.14355948869223206
32875894731,2021-07-07T09:50:00Z,84,17,20,47,81,67,0.11869436201780416
32862062884,2021-07-06T09:48:30Z,85,22,22,41,86,67,0.08826479438314945
32850473831,2021-07-05T09:42:30Z,78,17,21,40,53,69,0.10089020771513353
32841937853,2021-07-04T09:17:30Z,75,18,19,38,70,71,0.14926829268292682
32811914818,2021-07-02T08:23:30Z,78,21,20,37,68,71,0.11855104281009879
32798454901,2021-07-01T09:12:30Z,79,20,20,39,72,71,0.12746234067207415
32784356623,2021-06-30T08:08:30Z,76,18,16,42,59,68,0.12376779846659365
32768443077,2021-06-29T08:38:30Z,78,19,18,41,74,67,0.13793103448275862
32754669757,2021-06-28T08:55:00Z,73,20,18,35,60,66,0.10182767624020887
32741428568,2021-06-27T08:46:00Z,82,21,21,40,96,67,0.08458864426419467
32728420494,2021-06-26T10:05:00Z,82,22,17,43,94,67,0.1054421768707483
32716930842,2021-06-25T08:25:30Z,74,17,21,36,70,68,0.11890606420927467
32702251113,2021-06-24T09:34:00Z,87,22,20,45,122,69,0.13386524822695037
32687261292,2021-06-23T08:57:00Z,83,19,18,46,96,68,0.13247470101195952
32673504922,2021-06-22T08:31:30Z,77,22,18,37,90,69,0.0931899641577061
32666146043,2021-06-21T09:17:30Z,70,19,17,34,77,68,0.10352941176470588
32666146042,2021-06-20T10:46:00Z,73,20,18,35,86,68,0.06986899563318777
32638170346,2021-06-19T08:29:30Z,69,17,18,34,91,67,0.1053740779768177
32638170345,2021-06-18T08:32:00Z,81,21,18,42,85,67,0.10957446808510639
32638170343,2021-06-16T07:20:30Z,83,21,20,42,73,66,0.12985571587125416
32586412831,2021-06-15T06:27:00Z,86,21,22,43,76,68,0.09331919406150584
32586412830,2021-06-14T04:33:30Z,66,17,19,30,66,69,0.14349775784753363
32563735248,2021-06-13T07:39:00Z,86,20,19,47,80,68,0.08658420551855375
32563735246,2021-06-12T07:09:00Z,86,22,20,44,105,68,0.1068075117370892
32563735245,2021-06-11T06:32:00Z,80,21,19,40,43,67,0.09489916963226572
32563735243,2021-06-10T06:23:00Z,79,22,17,40,85,67,0.12039800995024875
32510061940,2021-06-09T00:20:30Z,72,21,14,37,54,64,0.06622516556291391
32472747458,2021-06-07T07:08:30Z,75,21,22,32,52,67,0.10566615620214395
32472747456,2021-06-06T07:32:30Z,75,17,20,38,52,67,0.1091753774680604
32453281819,2021-06-05T05:28:00Z,71,20,21,30,44,70,0.09208103130755065
32453281817,2021-06-04T05:53:00Z,77,20,23,34,28,70,0.06290672451193059
32453281815,2021-06-03T05:50:30Z,78,21,23,34,43,71,0.05152979066022544
32453281813,2021-06-02T05:35:30Z,76,21,23,32,52,71,0.06518010291595197
32453281810,2021-05-31T10:58:30Z,66,21,17,28,46,71,0.04851752021563342
32453281808,2021-05-30T05:33:00Z,76,20,22,34,59,72,0.10276073619631902
32362052702,2021-05-29T05:50:00Z,81,20,24,37,41,75,0.05895196506550218
32362052700,2021-05-28T04:07:30Z,74,20,22,32,41,73,0.06633499170812604
32362052698,2021-05-27T05:50:30Z,62,17,21,24,45,72,0.10022779043280182
32362052697,2021-05-26T05:33:00Z,82,21,23,38,51,72,0.045774647887323945
32362052694,2021-05-25T03:22:30Z,67,17,20,30,41,71,0.08148148148148149
32362052691,2021-05-23T09:48:00Z,59,20,13,26,51,71,0.10024449877750612
32362052690,2021-05-23T02:02:30Z,69,19,21,29,19,71,0.11067961165048544
32224004870,2021-05-19T05:44:00Z,76,21,23,32,66,73,0.07110438729198185
32205959878,2021-05-18T05:36:30Z,76,20,17,39,37,72,0.07446808510638298
32206577432,2021-05-17T09:28:00Z,64,16,12,36,48,70,0.1121898597626753
32206577430,2021-05-15T08:49:30Z,70,18,20,32,51,70,0.08603667136812412
32206577428,2021-05-14T07:32:30Z,81,21,23,37,80,70,0.06174496644295302
32140216839,2021-05-13T06:09:00Z,63,16,19,28,30,70,0.07188160676532769
32132718597,2021-05-12T06:52:00Z,65,17,13,35,53,69,0.05380333951762523
32111574956,2021-05-11T05:39:00Z,72,20,20,32,25,68,0.08771929824561403
32097893612,2021-05-10T05:29:30Z,68,20,20,28,35,68,0.07611548556430446
32088962489,2021-05-09T05:42:30Z,69,19,22,28,51,69,0.07422680412371134
32088962487,2021-05-08T05:43:00Z,68,17,15,36,61,69,0.05945121951219512
32064095075,2021-05-07T06:04:30Z,65,17,19,29,34,70,0.1441578148710167
